video_name,probe_type,Time_1,Event_1,Coords_A1,Coords_T1,Coords_C1,Time_2,Event_2,Coords_A2,Coords_T2,Coords_C2,Time_3,Event_3,Coords_A3,Coords_T3,Coords_C3
collision_collision_containment,E_Key,1:18,1:27,"1170, 875","710, 875","650, 960",3:01,3:27,"800, 875","535, 875 ","470, 915",,,,,
collision_collision_occlusion,F_Key,2:12,2:27,"930, 860","735, 860","775, 965",4:09,5:17,"575, 860","410, 890","365, 1000",,,,,
collision_falling_occlusion,E_Key,0:25,1:00,"1650, 250","1550, 255","1515, 510",2:05,2:20,"505, 855","295, 900","290, 1000",,,,,
collision_occlusion_collision,F_Key,1:07,1:29,"1120, 850","900, 870","890, 950",3:00,3:17,"540, 850","320, 850","230, 930",,,,,
collision_occlusion_containment,E_Key,1:08,1:29,"1400, 860","1235, 860","1235, 980",2:29,3:27,"870, 840","625, 840","515, 980",,,,,
containment_collision_collision,F_Key,1:08,1:13,"800, 870","630, 870","700, 1000",3:15,3:28,"380, 880","225, 895","100, 970",,,,,
containment_collision_occlusion,E_Key,1:17,1:28,"815, 880","605, 880","615, 1020",3:24,5:28,"530, 920","340, 940","290, 1030",,,,,
containment_falling_collision,F_Key,1:09,1:18,"1380, 460","1615, 505","1715, 675",3:00,3:07,"705, 840","485, 855","425, 930",,,,,
containment_falling_occlusion,E_Key,0:08,0:15,"1640, 250","1790, 280","1800, 660",2:20,3:03,"580, 860","255, 870","225, 980",,,,,
containment_occlusion_collision,F_Key,0:29,1:22,"760, 860","1030, 880","1010, 980",3:00,3:12,"1540, 860","1770, 860","1740, 980",,,,,
containment_occlusion_containment,E_Key,0:20,0:25,"1100, 860","1280, 860","1380, 915",2:29,3:27,"1160, 860","925, 940","920, 1020",,,,,
containment_topple_collision,F_Key,0:25,1:12,"1220, 870","925, 870","1010, 950",,,,,,,,,,
falling_collision_collision,F_Key,1:13,1:22,"970, 840","650, 850","620, 1000",3:00,3:23,"480, 850","240, 850","190, 960",,,,,
falling_collision_occlusion,E_Key,1:02,1:07,"1050, 840","820, 850","830, 1005",2:05,2:20,"560, 850","390, 890","360, 980",,,,,
falling_containment_collision,F_Key,0:21,0:25,"780, 840","620, 840","510, 925",2:03,2:28,"720, 850","1070, 850","1110, 950",,,,,
falling_falling_collision,E_Key,1:17,1:21,"700, 680","450, 520","870, 520",,,,,,,,,,
falling_falling_containment,F_Key,2:00,2:06,"380, 530","250, 360","175, 735",,,,,,,,,,
falling_falling_occlusion,E_Key,1:22,1:28,"460, 870 ","270, 890","230, 970",,,,,,,,,,
falling_occlusion_collision,F_Key,1:06,1:11,"1200, 750","1100, 910","1080, 980",2:00,2:06,"500, 840","240, 850","185, 965",,,,,
falling_occlusion_containment,E_Key,1:05,1:10,"1220, 680","1090, 840","1070, 915",1:25,2:03,"560, 850","360, 850","250, 910",,,,,
falling_occlusion_topple,F_Key,1:06,1:14,"1100, 850","875, 850","850, 935",1:28,2:05,"470, 850","260, 850","140, 920",,,,,
occlusion_collision_collision,E_Key,0:15,0:21,"1630, 880","1450, 900","1450, 980",1:07,1:14,"900, 880","630, 880","550, 950",2:04,2:15,"350, 890","90, 910","220, 990"
occlusion_collision_containment,F_Key,0:15,0:23,"1720, 850","1560, 900","1540, 970",1:15,1:20,"970, 840","820, 850","800, 950",2:01,2:20,"770, 860","600, 860","470, 960"
occlusion_collision_occlusion,E_Key,2:05,2:15,"1000, 850","740, 850","800, 930",3:11,4:00,"570, 850","400, 850","360, 900",,,,,
occlusion_collision_topple,F_Key,0:17,0:29,"1610, 880","1350, 870","1320, 920",2:08,2:23,"540, 900","300, 900","200, 940",,,,,
occlusion_falling_collision,E_Key,0:23,1:01,"1650, 280","1490, 280","1430, 430",1:27,2:01,"670, 850","450, 850","420, 970",,,,,
occlusion_falling_occlusion,F_Key,1:20,1:27,"650, 840","440, 860","410, 930",,,,,,,,,,
occlusion_occlusion_collision,E_Key,2:20,3:10,"1100, 860","860, 880","820, 940",4:11,4:21,"450, 860","250, 860","140, 960",,,,,
occlusion_occlusion_containment,F_Key,1:24,2:09,"1340, 870","1160, 880","1120, 970",3:12,4:04,"700, 880","450, 880","330, 950",,,,,
topple_collision_collision,E_Key,1:04,1:25,"1050, 890","1270, 880","1390, 1000",,,,,,,,,,
topple_collision_containment,F_Key,0:15,1:02,"1105, 890","1220, 880","1290, 970",,,,,,,,,,
topple_collision_occlusion,E_Key,2:00,2:23,"1160, 870","1380, 870","1420, 940",,,,,,,,,,